filename	mine_name	site_location	country	gps_coordinates	caption
YanacochaMine_rgb_2024-10-04.png	YanacochaMine	 Cajamarca	Peru	-6.982179,-78.523369	The Yanacocha gold mine in Cajamarca, Peru, is visible in the Sentinel-2 satellite image data, situated in a high-altitude landscape with sparse vegetation. The mine's footprint is significant, with multiple open pits and disturbed areas covering a broad extent. The image data indicates extensive land disturbance, with bare substrate and pit benches exposed due to mining activities. Severe vegetation stress around the mine is evident. Gold extraction at Yanacocha Mine has likely led to environmental degradation, including soil erosion and potential water pollution. The extraction process may involve removing vegetation and soil, exposing underlying rock and minerals. Nearby water systems are at risk of contamination from mining activities, posing potential health risks to people living in the vicinity.
YallournOpenCut_rgb_2024-10-03.png	YallournOpenCut	Morwell, City of Latrobe, Victoria	Australia	-38.165545,146.368547	The Yallourn Open Cut brown coal mine is visible in the Sentinel-2 satellite image data, situated in Morwell, Victoria, Australia. The mine is part of a large mining complex covering over 50 square kilometers. The image shows extensive brown coal extraction with a large open pit and associated infrastructure, including spoil heaps and haul roads.  Significant land disturbance and vegetation loss surround the mine. The bare substrate and disturbed terrain are evident around the mining sites. Environmental concerns include soil erosion, potential water pollution from mining activities, and habitat fragmentation.  Brown coal mining at Yallourn Open Cut has likely led to environmental degradation. The extraction process may involve removing vegetation and soil, exposing underlying coal measures, and creating spoil heaps that may contain chemicals used in the mining process. People living in the vicinity may be at risk of potential chemical contamination from mining activities.
WilpinjongCoalMine_rgb_2024-12-29.png	WilpinjongCoalMine	Phillip County, New South Wales	Australia	-32.343132,149.87641	The Wilpinjong Coal Mine is visible in the Sentinel-2 satellite image data, situated in a rural landscape with surrounding vegetation and bare ground. The mine's footprint is significant, with a broad open pit and associated infrastructure, including spoil heaps and haul roads. Coal extraction is evident, with large-scale removal of soil and rock layers.  Thermal coal mining at Wilpinjong has led to substantial environmental degradation, including vegetation loss and soil erosion. The surrounding landscape shows signs of fragmentation and stress adjacent to the mine. Environmental concerns include potential water pollution from mining activities and habitat destruction. The proximity of the mine to the village of Wollar may lead to water contamination and other risks for people living in the vicinity. The extensive footprint of the mine underscores the need for careful management to mitigate these impacts.
WamboOpenCutMine_rgb_2024-09-05.png	WamboOpenCutMine	Hunter County, New South Wales	Australia	-32.54914,150.95259	The Wambo Open Cut Mine in Hunter County, New South Wales, Australia, is visible in the Sentinel-2 satellite image data from September 5, 2024. The mine, which extracts thermal and semi-soft metallurgical coal, has a significant mining footprint with a broad pit and associated infrastructure. Extensive land disturbance is evident through bare substrate and disturbed ground surrounding the mining area. Vegetation stress around the mine is apparent. The mine's operations have led to substantial environmental degradation, including soil erosion and potential water pollution. People living in the vicinity may be at risk of water contamination from mining activities. The extraction of coal has resulted in considerable landscape alteration and ecological stress.
UgaroMine_rgb_2024-09-22.png	UgaroMine	Awgaro, Gash Barka Region	Eritrea	14.7825,37.3	The Ugaro Mine in Eritrea, captured on September 22, 2024, by Sentinel-2, is an open-pit gold mine surrounded by a landscape dominated by bare and disturbed ground. The mine's footprint is significant, with extensive land disturbance evident in the image data. Gold extraction is likely causing substantial environmental degradation, including severe vegetation stress and loss around the mine. The mining activities appear to have led to land degradation from unrehabilitated pits, a common issue in Eritrea's informal gold mining sector. Potential environmental hazards include soil erosion, water pollution from tailings or pit water, and habitat fragmentation, posing risks to nearby communities and farming areas due to mercury release from artisanal mining practices.
TsumebMine_rgb_2024-12-16.png	TsumebMine	Tsumeb, Oshikoto Region	Namibia	-19.23977,17.71588	The Tsumeb Mine in Namibia is visible in the Sentinel-2 satellite image data, with extensive copper, lead, zinc, silver, germanium, and cadmium extraction evident. The mine has a significant footprint with multiple open pits and associated infrastructure. Vegetation stress and loss are apparent around the mine. The nearby metal smelter has historically contributed to significant soil contamination with arsenic and heavy metals. Environmental concerns include soil erosion, water pollution from tailings, and habitat fragmentation. People living in the vicinity may be at risk of water contamination and exposure to heavy metals. The mine's large footprint and associated infrastructure underscore the need for careful management to mitigate environmental impacts.
UdachnayaMine_rgb_2024-06-26.png	UdachnayaMine	Daldyn, Mirninsky District, Sakha	Russia	66.43333,112.31667	The Udachnaya diamond mine is visible in the satellite image data, situated in a landscape dominated by sparse vegetation and bare ground. The mining area is extensive, with a large, deep pit and associated infrastructure, including spoil heaps and haul roads. Diamond extraction is evident, with significant land disturbance and vegetation loss around the mine. The image data indicates severe vegetation stress around the mine. Environmental concerns include soil erosion, potential water pollution from tailings or pit water, and habitat fragmentation. The proximity of the mine to nearby settlements may lead to water contamination for people living in the vicinity due to potential chemical contamination associated with diamond extraction.
TraversellaMine_rgb_2024-09-15.png	TraversellaMine	Traversella, Metropolitan City of Turin, Piedmont	Italy	45.51304,7.75723	The Traversella Mine in Italy is visible in the Sentinel-2 satellite image data, set amidst a mountainous landscape with varied land cover, including forests and bare ground. The mine's footprint is evident through extensive bare and disturbed ground, with signs of past mining activities such as pit benches and waste dumps. No significant urban development is apparent in the immediate vicinity.  Iron extraction is evident from the image data, with large-scale removal of soil and rock layers associated with the historic mining of iron, pyrite, and chalcopyrite. Environmental concerns include soil erosion, potential water pollution from abandoned workings, and habitat fragmentation. The surrounding water systems are at risk of contamination from legacy mining activities. People living in the nearby Val Chiusella area may face risks from these environmental hazards.
TiébaghiMine_rgb_2024-08-28.png	TiébaghiMine	Tiébaghi Massif, Koumac, Northern Province, New Caledonia	France	-20.463043,164.207156	The Tiébaghi Mine in New Caledonia, captured on August 28, 2024, by Sentinel-2, is a significant open-cast nickel mine located in the Tiébaghi Massif near Koumac. The mine is surrounded by a landscape dominated by ultramafic rocks and sparse vegetation. Extensive mining activities are evident through large areas of exposed soil and bare rock, indicating substantial land disturbance and vegetation loss within the mining area. The extraction of nickel laterite ores has resulted in considerable landscape alteration, contributing to ecological stress and potentially endangering endemic species. The environmental risks associated with this mining operation include increased sedimentation, potential groundwater contamination, and further habitat loss for people living in the vicinity.
TincalayuMine_rgb_2024-12-20.png	TincalayuMine	Antofagasta de la Sierra Department, Catamarca Province	Argentina	-25.268122,-67.055228	The Tincalayu Mine in Argentina's Catamarca Province is visible in the Sentinel-2 satellite image data, situated within a high-altitude salt pan. The mine, a major borate producer in South America, has two open pits with the largest measuring 1,500 meters wide, 500 meters long, and 100 meters deep. Extensive land disturbance is evident through bare and disturbed ground around the mining sites. Borate extraction is likely causing significant environmental degradation, including soil erosion and potential water pollution. The mine's proximity to the Salar del Hombre Muerto, part of the Lithium Triangle, raises concerns about potential chemical contamination risks associated with mining activities affecting nearby water systems and people living in the vicinity. Vegetation stress and loss are apparent around the mine due to the harsh high-altitude environment and mining operations.
