filename	mine_name	site_location	country	gps_coordinates	caption
YanacochaMine_rgb_2024-10-04.png	YanacochaMine	 Cajamarca	Peru	-6.982179,-78.523369	The Yanacocha gold mine is visible in the Sentinel-2 satellite image data, set against a landscape of rugged Andean terrain with sparse vegetation at high elevations. The mine's footprint is significant, covering over 30,000 hectares with multiple open pits and disturbed areas. Extensive land disturbance is evident through bare substrate, pit benches, and waste dumps. The image data indicates severe vegetation stress around the mine.

The extraction of gold, along with silver and mercury as by-products, has likely led to environmental degradation, including soil erosion and potential water pollution. The proximity of the mine to local communities and ecosystems raises concerns about potential chemical contamination and health risks associated with cyanide leaching and mercury exposure. The extensive footprint of the mine and associated infrastructure underscores the need for careful management to mitigate these impacts on people living in the vicinity.
YallournOpenCut_rgb_2024-10-03.png	YallournOpenCut	Morwell, City of Latrobe, Victoria	Australia	-38.165545,146.368547	The Yallourn Open Cut brown coal mine is visible in the Sentinel-2 satellite image data, showing extensive mining activity across a broad landscape dominated by bare ground and disturbed terrain. The mine's footprint is significant, with a large, deep pit and associated infrastructure, including spoil heaps. Brown coal extraction is evident, with large-scale removal of soil and rock layers. The surrounding landscape shows signs of vegetation stress and loss adjacent to the mine. Environmental concerns include soil erosion, potential water pollution from mining activities, and habitat fragmentation. The proximity of the mine to nearby settlements may lead to water contamination for people living in the vicinity.
WilpinjongCoalMine_rgb_2024-12-29.png	WilpinjongCoalMine	Phillip County, New South Wales	Australia	-32.343132,149.87641	The Wilpinjong Coal Mine in Australia is visible in the Sentinel-2 satellite image data, situated in a landscape dominated by native vegetation and disturbed mining areas. The mine's footprint is significant, with broad open-cut pits, spoil heaps, and associated infrastructure. Coal extraction from the Ulan Seam is evident, with large-scale removal of soil and rock layers. The surrounding landscape shows signs of vegetation stress and loss adjacent to the mine. Environmental concerns include soil erosion, potential water pollution from mining activities, and habitat fragmentation. The proximity of the mine to the village of Wollar may lead to water contamination and other environmental hazards for residents.
UgaroMine_rgb_2024-09-22.png	UgaroMine	Awgaro, Gash Barka Region	Eritrea	14.7825,37.3	The Ugaro Mine in Awgaro, Eritrea, is visible in the Sentinel-2 satellite image data from September 22, 2024. The mine, known for gold extraction, is set amidst a landscape dominated by disturbed ground and sparse vegetation. The mining area is characterized by a significant bare footprint with multiple pits and associated infrastructure. Severe vegetation stress around the mine is evident due to the extensive land disturbance caused by gold mining activities. The environmental hazards associated with this mining operation include soil erosion, potential water pollution from tailings or pit water, and habitat fragmentation. These risks may lead to potential chemical contamination and health concerns for people living in the vicinity.
WamboOpenCutMine_rgb_2024-09-05.png	WamboOpenCutMine	Hunter County, New South Wales	Australia	-32.54914,150.95259	The Wambo Open Cut Mine in Hunter County, New South Wales, Australia, is visible in the Sentinel-2 satellite image data. The mine extracts thermal and semi-soft metallurgical coal for export. The mining area is characterized by a large open pit with significant land disturbance and bare substrate. The extensive mining footprint is evident, with pit benches and associated infrastructure like haul roads. Vegetation stress around the mine is apparent.

The extraction of coal has led to substantial environmental degradation, including soil erosion and potential water pollution. Nearby water systems may be at risk of contamination from mining activities, posing health risks to people living in the vicinity. The mine's broad footprint and associated infrastructure contribute to ecological stress and fragmentation. Careful management is needed to mitigate these impacts.
UdachnayaMine_rgb_2024-06-26.png	UdachnayaMine	Daldyn, Mirninsky District, Sakha	Russia	66.43333,112.31667	The Udachnaya diamond mine in Russia's Sakha Republic is visible in the Sentinel-2 satellite image data. The mine is surrounded by sparse vegetation and features extensive open-pit mining with multiple terraced pit benches and associated infrastructure. Diamond extraction is evident, with a large-scale removal of soil and rock layers, resulting in significant land disturbance. The image data shows severe vegetation stress around the mine, likely due to the mining activities. Environmental concerns include soil erosion, potential water pollution from tailings or pit water, and habitat fragmentation. The proximity of the nearby town of Udachny to the mine may lead to water contamination risks for people living in the vicinity.
TsumebMine_rgb_2024-12-16.png	TsumebMine	Tsumeb, Oshikoto Region	Namibia	-19.23977,17.71588	The Tsumeb Mine in Namibia is visible in the Sentinel-2 satellite image data, showcasing extensive open-cast mining with large areas of exposed soil and bare rock, indicating significant land disturbance. The mine, known for extracting copper, lead, zinc, silver, germanium, and cadmium, has caused substantial environmental degradation. Vegetation stress and loss around the mine are evident. The nearby metal smelter has contributed to soil contamination with arsenic and heavy metals. Environmental concerns include soil erosion, water pollution from tailings or pit water, and habitat fragmentation. People living in the vicinity may be at risk of water contamination and exposure to heavy metals.
ToquepalaMine_rgb_2024-10-22.png	ToquepalaMine	Ilabaya, Tacna	Peru	-17.246879,-70.613586	The Toquepala Mine in southern Peru, visible on October 22, 2024, is a large open-pit copper mine set within an arid mountain landscape. The mine's significant footprint is characterized by a broad, deep pit with terraced benches and exposed light-toned rock, surrounded by associated infrastructure such as waste dumps and haul roads. Copper, molybdenum, rhenium, silver, gold, and zinc are being extracted from this classic porphyry copper-molybdenum deposit. The image data indicates severe vegetation stress around the mine due to land disturbance. Environmental concerns include soil erosion, potential water pollution from tailings and pit water, and habitat fragmentation. The proximity of the mine to local communities may lead to water contamination and other hazards for people living in the vicinity.
TraversellaMine_rgb_2024-09-15.png	TraversellaMine	Traversella, Metropolitan City of Turin, Piedmont	Italy	45.51304,7.75723	The Traversella Mine in Italy is visible in the Sentinel-2 satellite image data, characterized by a landscape of mixed forest and bare ground. The mine, known for extracting iron, magnetite, pyrite, and chalcopyrite, shows a significant mining footprint with extensive land disturbance. The image data indicates vegetation stress around the mine. Environmental concerns include soil erosion, potential water pollution from tailings or pit water, and habitat fragmentation. The proximity of the mine to nearby communities may lead to water contamination risks for people living in the vicinity. The observed environmental degradation underscores the need for careful management to mitigate these impacts.
TiébaghiMine_rgb_2024-08-28.png	TiébaghiMine	Tiébaghi Massif, Koumac, Northern Province, New Caledonia	France	-20.463043,164.207156	The Tiébaghi Mine in New Caledonia, France, is visible in the Sentinel-2 satellite image data from August 28, 2024. The mine is situated in the Tiébaghi Massif, a region known for its ultramafic rocks rich in chromium and nickel. The imagery shows extensive open-cast mining with large areas of exposed soil and bare rock, indicating significant land disturbance. Nickel laterite ores are currently being extracted.

Severe vegetation loss within and around the mining area is evident from the image data. The mining activities have led to substantial environmental degradation, including soil erosion and habitat destruction. Risks associated with this mining operation include increased sedimentation, potential groundwater contamination, and further habitat loss for endemic species like the New Caledonian marbled gecko. The extensive footprint of the mine and associated infrastructure underscores the need for careful management to mitigate these impacts on people living in the vicinity.
TincalayuMine_rgb_2024-12-20.png	TincalayuMine	Antofagasta de la Sierra Department, Catamarca Province	Argentina	-25.268122,-67.055228	The Tincalayu Mine in Argentina's Catamarca Province is visible in the Sentinel-2 satellite image data, situated within a high-altitude salt pan. The mine, a major borate producer in South America, has two open pits with significant land disturbance and bare substrate. Vegetation stress around the mine is evident due to the extraction of borates. The mine's proximity to the Salar del Hombre Muerto, part of the Lithium Triangle, raises concerns about potential water pollution and habitat fragmentation. The environmental risks associated with this mining operation include soil erosion and potential contamination of nearby water systems. People living in the vicinity may be at risk due to the mine's extensive footprint and associated infrastructure.
ThompsonMine_rgb_2024-06-21.png	ThompsonMine	Moab-Setting Lakes Area, Thompson Nickel Belt, Manitoba	Canada	55.71976,-97.83531	The Thompson Mine in the Moab-Setting Lakes area of the Thompson Nickel Belt in Manitoba, Canada, is visible in the Sentinel-2 satellite image data, surrounded by boreal forest and wetlands. The mine's open-pit operation is evident through extensive bare and disturbed ground, with significant land disturbance and vegetation loss around the mining area. Nickel sulfide extraction is apparent, with a large-scale removal of soil and rock layers. The surrounding landscape shows signs of environmental degradation, including soil erosion and potential water pollution. The proximity of the mine to the city of Thompson and remote Indigenous communities may lead to water contamination risks for people living in the vicinity.
TimKingOpenPit_rgb_2024-12-25.png	TimKingOpenPit	Spotted Quoll Deposit, Kondinin Shire, Western Australia	Australia	-32.431714,119.687194	The Tim King open pit, part of the Spotted Quoll nickel operation in Western Australia's Forrestania district, is visible in the Sentinel-2 satellite image data from December 25, 2024. The mine, known for extracting high-grade nickel sulphide ores, shows extensive land disturbance with a broad, deep pit and associated infrastructure. Significant vegetation stress around the mine is evident. The mining activities have led to substantial environmental degradation, including soil erosion and potential water pollution. The extraction of nickel has resulted in considerable landscape alteration, contributing to ecological stress. Environmental risks include increased sedimentation and potential groundwater contamination. People living in the vicinity may be at risk due to potential chemical contamination from mining activities. The mine's location on Native Title lands highlights the need for careful management to mitigate these impacts.
