id	filename	mine_name	site_location	country	gps_coordinates	caption
1	WamboOpenCutMine_rgb_2024-09-05.png	WamboOpenCutMine	Wambo Open Cut Mine, Hunter County, New South Wales	Australia	-32.54914,150.95259	The September 5, 2024 Sentinel-2 image shows the Wambo Open Cut Mine in the Hunter Valley, New South Wales, Australia. The mine's extensive open-pit excavation has caused significant land disturbance, with large areas of bare soil and rock exposed. The surrounding landscape appears to be largely vegetated, with some signs of land degradation near the mine site. The image indicates potential soil erosion and habitat disruption due to mining activities. Although no visible water bodies or tailings ponds are present within the mine area, the extensive land alteration suggests ongoing environmental risks associated with the mining operation.
2	UdachnayaMine_rgb_2024-06-26.png	UdachnayaMine	Udachnaya pipe, Daldyn, Mirninsky District, Sakha	Russia	66.43333,112.31667	The June 26, 2024 Sentinel-2 image of the Udachnaya open-pit diamond mine in Russia's Sakha Republic reveals significant environmental degradation. The extensive excavation and removal of soil and rock have caused substantial land disturbance, evident in the large, deep pit and surrounding bare terrain. A tailings pond with distinctively colored water is visible, suggesting potential chemical contamination and risk to nearby water sources. The surrounding landscape shows sparse vegetation, indicating habitat disruption and potential soil erosion. The contrast between the disturbed mining area and the surrounding forested landscape highlights the environmental impact of the mining activities.
3	UgaroMine_rgb_2024-09-22.png	UgaroMine	Ugaro Mine, Awgaro (Ugaro), Gash Barka Region	Eritrea	14.7825,37.3	The Sentinel-2 image from September 22, 2024, shows the Ugaro Mine in Eritrea. Extensive land degradation is evident, with large areas of bare soil and disturbed terrain visible around the mine. The presence of numerous small, winding paths and disturbed land suggests informal mining activities. Although no tailings ponds or water bodies with abnormal colors are visible, the widespread land disturbance indicates potential soil erosion and habitat destruction. The surrounding vegetation appears relatively intact, but the environmental impact of mining is still evident in the degraded land and altered terrain. Overall, the image highlights significant environmental hazards associated with mining activities in the region.
4	TincalayuMine_rgb_2024-12-20.png	TincalayuMine	Antofagasta de la Sierra Department, Catamarca Province	Agentina	-25.268122,-67.055228	The December 20, 2024 Sentinel-2 image of the Tincalayu Mine in Argentina's Catamarca Province reveals significant environmental hazards associated with borate extraction. The mine's open pits, set within the Salar del Hombre Muerto salt pan, have caused substantial land disturbance and potential soil erosion. The presence of dark, disturbed soil and the stark contrast between the mined area and surrounding terrain indicate severe land degradation. Although no direct evidence of water contamination is visible, the proximity of mining operations to the salt pan and potential brine pools suggests risks to local hydrology. The image highlights the environmental impact of mining in this sensitive, high-altitude ecosystem.
5	TsumebMine_rgb_2024-12-16.png	TsumebMine	Green hill open mine, Tsumeb Mine (Ongopolo Mine), Tsumeb, Oshikoto Region	Namibia	-19.23977,17.71588	The December 16, 2024 Sentinel-2 image shows the Tsumeb Mine in Namibia, a polymetallic mining site known for copper, lead, zinc, and silver extraction. The image reveals extensive land degradation due to large-scale open-pit mining and associated infrastructure. A large tailings pond is visible. The surrounding area shows significant soil disturbance and potential erosion, with sparse vegetation indicating habitat degradation. The environmental hazards present include potential chemical contamination from the tailings pond and soil erosion due to extensive land clearing. Overall, the image highlights the substantial environmental impact of mining activities at the Tsumeb Mine.
6	TancoMine_rgb_2024-11-15.png	TancoMine	Bernic Lake, Lac-du-Bonnet, Manitoba	Canada	50.432063,-95.445967	The November 15, 2024 Sentinel-2 image of the Tanco Mine at Bernic Lake, Manitoba, Canada, reveals significant environmental hazards associated with the extraction of tantalum, lithium, and caesium. The mine site exhibits extensive land disturbance, with large areas of bare soil and rock exposed due to excavation. The surrounding forest shows signs of stress and fragmentation, likely due to mining activities. A body of water near the mine appears to have an unusual color, suggesting potential chemical contamination. The image indicates potential environmental risks, including soil erosion, water pollution, and habitat destruction. The presence of unnaturally colored water and extensive land degradation highlights the need for ongoing environmental monitoring and management.
7	ThompsonMine_rgb_2024-06-21.png	ThompsonMine	Moab-Setting Lakes area, Thompson Nickel Belt, Manitoba	Canada	55.719763,-97.835312	The June 21, 2024 Sentinel-2 image of the Thompson Mine in Manitoba, Canada, reveals significant environmental hazards associated with nickel mining. The open-pit operation has resulted in extensive land disturbance, with large areas of bare soil and rock exposed, indicating potential soil erosion. A nearby lake displays yellowish water, suggesting possible chemical contamination or sedimentation from mining activities. The surrounding forest appears largely intact, but the presence of the mine and associated infrastructure has fragmented the landscape. The image highlights the environmental risks associated with mining, including water pollution and habitat disruption, in a region otherwise characterized by dense forest and numerous lakes.
8	SprucePineQuarry_rgb_2024-04-15.png	SprucePineQuarry	Bakersville, Mitchell County, North Carolina	USA	35.942922,-82.08268	The April 15, 2024 Sentinel-2 image of the Spruce Pine Quarry in North Carolina reveals significant environmental degradation. The extensive white areas indicate large-scale excavation and removal of soil and rock, likely causing soil erosion and habitat destruction. The surrounding landscape shows stressed vegetation, with the dark red tones suggesting a mix of bare soil and sparse vegetation cover. The image highlights the environmental impact of mining activities, including land degradation and potential soil instability. No visible water bodies or tailings ponds are present in the image, but the extensive land alteration poses risks to local ecosystems and potentially to groundwater quality.
9	SprucePineQuarry_rgb_2024-04-25.png	SprucePineQuarry	Bakersville, Mitchell County, North Carolina	USA	35.942922,-82.08268	The April 25, 2024 Sentinel-2 image of the Spruce Pine Quarry in North Carolina reveals extensive mining activity within the Blue Ridge Mountains. Large areas of exposed white and light-colored soil indicate significant land disturbance, likely resulting in soil erosion and increased sedimentation risk in nearby water bodies. The surrounding landscape shows a mix of dense vegetation and disturbed terrain, suggesting habitat disruption. Although no tailings ponds or water bodies with abnormal colors are visible, the extensive excavation and land alteration pose potential environmental risks, including soil degradation and habitat loss. The contrast between the disturbed mining areas and the surrounding dense vegetation highlights the environmental impact of quarrying activities.
10	SanMiguelOpenPit_rgb_2024-09-06.png	SanMiguelOpenPit	Pirquitas Mine, Mina Pirquitas, Rinconada Department, Jujuy Province	Argentina	-22.684407,-66.541539	The September 6, 2024 Sentinel-2 image of the SanMiguelOpenPit mine in Argentina reveals significant environmental hazards. The open-pit operation has caused substantial land degradation, with large areas of exposed soil and disturbed terrain visible. A tailings pond with abnormally colored water, likely due to chemical contamination, is present near the mine. The surrounding terrain shows signs of erosion, and the natural vegetation appears stressed or cleared, indicating habitat destruction. The image highlights potential risks of water pollution and soil contamination associated with the mining activities. The environmental impact is evident in the altered landscape and potential chemical hazards.
11	SanValentínMine_rgb_2024-04-14.png	SanValentínMine	La Unión, Murcia	Spain	37.60893,-0.85699	The April 14, 2024 Sentinel-2 image of the San Valentín Mine in La Unión, Murcia, Spain, reveals significant environmental hazards. Extensive mining activity has led to substantial land degradation, with large areas of bare soil and disturbed terrain evident. The presence of tailings ponds with abnormally colored water suggests potential chemical contamination and risks to nearby water bodies and groundwater. The surrounding landscape shows stressed or cleared vegetation, indicating habitat destruction and potential soil erosion. These environmental impacts pose ongoing risks to local ecosystems and water quality, highlighting the need for continued monitoring and remediation efforts.
12	RixCreekOpenCutMine_rgb_2024-12-29.png	RixCreekOpenCutMine	Durham Co., New South Wales	Australia	-32.52135,151.12558	The December 29, 2024 Sentinel-2 image of Rix Creek Open Cut Mine in New South Wales, Australia, reveals extensive environmental disturbances due to coal mining activities. The large open-cut excavation has caused significant land degradation, with extensive removal of vegetation and topsoil, leading to potential soil erosion. A large area of bare, disturbed soil is visible, indicating habitat destruction and loss. Although no water bodies or tailings ponds are directly visible in the image, the scale of land alteration suggests potential risks to nearby water sources and groundwater. The surrounding landscape shows signs of stress, with sparse vegetation cover around the mine site.
13	RioTintoBoraxMine_rgb_2024-08-25.png	RioTintoBoraxMine	Kramer Borate deposit, Boron, Kern County, California	USA	35.044444,-117.694444	The August 25, 2024 Sentinel-2 image of the RioTintoBoraxMine in Boron, California, reveals significant environmental hazards associated with the world's largest open-pit borax operation. Extensive land disturbance is evident, with large areas of exposed soil and bare rock indicating potential soil erosion. Several tailings ponds with abnormal water colors are visible on the left side of the image, suggesting chemical contamination and risk of leakage into nearby water bodies and groundwater. The surrounding arid landscape shows sparse vegetation, likely stressed by the mining activities, reflecting habitat degradation and loss. The image highlights the environmental impact of large-scale mining operations in sensitive ecosystems.
14	RavensworthOpenCutMine_rgb_2024-12-29.png	RavensworthOpenCutMine	Durham Co., New South Wales	Australia	-32.443459,151.014824	The December 29, 2024 Sentinel-2 image of Ravensworth Open Cut Mine in New South Wales, Australia, reveals significant environmental degradation. The extensive open-pit excavation has caused substantial land disturbance, with large areas of exposed soil and bare rock indicating potential soil erosion. A tailings pond is visible with water that appears abnormally colored, suggesting chemical contamination and risk of leakage into nearby water bodies and groundwater. The surrounding landscape shows signs of habitat destruction, with stressed or cleared vegetation adjacent to the mine site. The image highlights the environmental impact of ongoing coal mining activities, including land degradation and potential water pollution.
15	ReocínMine_rgb_2024-04-20.png	ReocínMine	Reocín, Cantabria	Spain	43.34444,-4.08556	The Sentinel-2 image from April 20, 2024, shows the Reocín Mine in Cantabria, Spain. The former zinc-lead mine is now a controlled mining lake, filled with water from the Saja River, rain, and minor diapir inflows. The lake's dark blue water indicates significant water accumulation, potentially affecting local hydrogeology. The surrounding area is largely forested, with some signs of land disturbance near the mine site. Although no direct evidence of chemical contamination is visible, the presence of a large mining lake suggests potential environmental risks, including water pollution and altered local ecosystems. The image highlights the need for ongoing monitoring to mitigate potential environmental hazards associated with the mine's legacy.
16	OuenzaMine_rgb_2024-12-18.png	OuenzaMine	Ouenza, Ouenza District, Tébessa Province	Algeria	35.94118,8.09881	The December 18, 2024 Sentinel-2 image of the Ouenza Mine in Algeria reveals extensive environmental degradation associated with large-scale iron ore extraction. The open-pit mine exhibits significant land disturbance, with exposed reddish-brown soil indicating potential soil erosion and sedimentation risks. A small, white-colored water body is visible at the bottom of the pit, suggesting the presence of mine drainage or accumulated water, which may be contaminated with heavy metals or other pollutants. The surrounding terrain shows signs of habitat disruption and soil degradation, with sparse vegetation cover. The image highlights the environmental impact of mining activities, including potential water pollution and land degradation.
17	PalaboraMine_rgb_2024-04-22.png	PalaboraMine	Phalaborwa, Ba-Phalaborwa Local Municipality, Mopani District, Limpopo	South Africa	-23.992038,31.128078	The April 22, 2024 Sentinel-2 image of the Palabora Mine in South Africa reveals significant environmental hazards associated with large-scale mining operations. The mine's extensive open pits and tailings ponds are visible, with the latter displaying abnormal water colors suggestive of chemical contamination. The surrounding landscape shows widespread land degradation, with sparse vegetation and exposed soil indicating potential soil erosion and habitat loss. The mine's infrastructure and excavation activities have significantly altered the terrain, contributing to environmental risks such as groundwater contamination and sedimentation in nearby water bodies. The image highlights the environmental impact of long-term mining activities in the region.
18	MuswellbrookOpenCutMine_rgb_2024-09-10 (1).png	MuswellbrookOpenCutMine	Muswellbrook, Durham Co., New South Wales	Australia	-32.245938,150.937186	The September 10, 2024 Sentinel-2 image shows the Muswellbrook Open Cut Mine in New South Wales, Australia. The mine, which ceased coal production in 2022, displays significant land disturbance with large areas of exposed soil and bare ground. Ongoing rehabilitation efforts are evident, with varying stages of vegetation regrowth around the site. The surrounding landscape is predominantly vegetated, contrasting with the disturbed mine area. No visible water bodies or tailings ponds with abnormal coloration are present in the image. The site's transition from active mining to rehabilitation is visible, with some areas showing signs of revegetation, indicating initial steps toward environmental recovery and land restoration.
19	MuswellbrookOpenCutMine_rgb_2024-09-10.png	MuswellbrookOpenCutMine	Muswellbrook, Durham Co., New South Wales	Australia	-32.245938,150.937186	The September 10, 2024 Sentinel-2 image shows the Muswellbrook Open Cut Mine in New South Wales, Australia, which ceased coal production in 2023 and is undergoing rehabilitation. The mine site displays extensive land disturbance with exposed soil and bare rock, indicating potential soil erosion. Surrounding vegetation appears healthy, with dense green cover, suggesting successful re-vegetation efforts in adjacent areas. The rehabilitation process is evident, with the site transitioning from an active mine to a landscape that may support alternative land uses, such as the planned pumped-storage hydropower project and solar farm. Overall, the image captures a critical phase in the mine's transition from active mining to sustainable land management.
20	MountArthurNorthMine_rgb_2024-12-29.png	MountArthurNorthMine	Mount Arthur Coal Mine Complex, Muswellbrook, Durham Co., New South Wales	Australia	-32.335134,150.847773	The December 29, 2024 Sentinel-2 image of the Mount Arthur North Mine in New South Wales, Australia, reveals extensive environmental hazards associated with large-scale coal mining. The mine's vast open-pit excavation has caused significant land degradation, with large areas of bare soil and disturbed terrain visible. The surrounding landscape shows signs of habitat destruction, with sparse vegetation around the mine site. Although no tailings ponds with abnormally colored water are directly visible, the extensive excavation and soil removal indicate potential soil erosion and increased sedimentation risk in nearby water bodies. The image highlights the environmental impact of ongoing mining activities, including land disturbance and potential groundwater contamination.
21	MountPleasantOpenCutMine_rgb_2024-12-29.png	MountPleasantOpenCutMine	Brisbane Co., New South Wales	Australia	-32.25353,150.848326	The December 29, 2024 Sentinel-2 image of the Mount Pleasant Open Cut Mine in New South Wales, Australia, reveals significant environmental hazards. The extensive open-pit excavation has caused substantial land degradation, with large areas of exposed soil and rock visible in the image. The surrounding landscape shows signs of disturbance, with sparse vegetation and altered terrain. Although no tailings ponds or water bodies with abnormal colors are visible in the image, the extensive mining activity suggests potential risks of soil erosion and habitat loss. The contrast between the mined area and the surrounding land cover highlights the environmental impact of the mining operation.
22	MirnyMine_rgb_2024-06-10.png	MirnyMine	Mirny Mine, Mirny, Mirninsky District, Sakha	Russia	62.52988,113.98743	The June 10, 2024 Sentinel-2 image of the Mirny Mine in Russia reveals significant environmental degradation associated with diamond mining. The large open pit, now partially filled with turquoise-colored water, indicates a substantial alteration of the landscape. The surrounding area shows extensive land disturbance, with bare soil and disturbed terrain visible around the mine. The presence of tailings ponds with abnormally colored water suggests potential chemical contamination and risk of leakage into nearby water bodies and groundwater. The stark contrast between the lush green surroundings and the barren mining area highlights the environmental impact of mining activities on local ecosystems and habitats.
23	MaryKathleenMine_rgb_2024-05-03.png	MaryKathleenMine	Mary Kathleen district, Rosebud Station, Cloncurry Shire, Queensland	Australia	-20.74714,140.01205	The May 3, 2024 Sentinel-2 image of the Mary Kathleen Mine in Queensland, Australia, reveals significant environmental hazards. The area exhibits extensive land degradation, with large patches of bare soil and disturbed terrain visible. A body of water with an abnormal color is present, suggesting potential chemical contamination. The surrounding landscape shows signs of habitat destruction and stressed vegetation, likely due to the legacy of uranium mining and rare earth oxide extraction. The image indicates ongoing environmental risks, including soil erosion and potential groundwater contamination. The rehabilitation efforts are evident, but signs of deterioration are visible, highlighting the need for continued monitoring and management.
24	LiddellOpenCutMine_rgb_2024-12-29.png	LiddellOpenCutMine	Durham Co., New South Wales	Australia	-32.396547,151.03264	The December 29, 2024 Sentinel-2 image shows the Liddell Open Cut Mine in New South Wales, Australia. The mine, which ceased operations in 2023, exhibits extensive land degradation with large areas of exposed soil and disturbed terrain. Several tailings ponds are visible, containing water with abnormal colors, suggesting potential chemical contamination. The surrounding vegetation appears sparse and stressed, indicating ongoing environmental impact. The site's infrastructure remains intact, reflecting its repurposed use for tailings and water storage until 2050 as part of the Liddell Coal Closure Project. The image highlights the environmental challenges associated with mine closure and rehabilitation efforts.
25	MangoolaOpenCutMine_rgb_2024-10-10.png	MangoolaOpenCutMine	Brisbane Co., New South Wales	Australia	-32.296175,150.688218	The October 10, 2024 Sentinel-2 image of the Mangoola Open Cut Mine in New South Wales, Australia, reveals significant environmental hazards associated with coal mining. The extensive open-pit excavation has caused substantial land degradation and soil erosion, as evident from the large areas of exposed bare soil and disturbed terrain. Several water bodies within the mine site display abnormal colors, suggesting potential chemical contamination and risk of leakage into nearby water sources and groundwater. The surrounding landscape shows signs of habitat disruption, with vegetation cleared or stressed in areas adjacent to the mine. Overall, the image indicates ongoing environmental risks related to mining activities, including water pollution and land degradation.
26	LaParrillaMine_rgb_2024-04-15.png	LaParrillaMine	Almoharín, Cáceres, Extremadura	Spain	39.075556,-6.084167	The April 15, 2024 Sentinel-2 image of LaParrillaMine in Almoharín, Spain, reveals significant environmental hazards associated with the inactive tungsten mine. A large area of exposed white soil and bare ground within the mine site indicates substantial land disturbance. The surrounding landscape shows a mix of agricultural fields and natural vegetation, with some areas appearing stressed or disturbed. Although no tailings ponds with abnormal water color are visible, the extensive excavation and soil removal suggest potential soil erosion and habitat disruption. The contrast between the disturbed mine site and the surrounding agricultural and natural areas highlights the environmental impact of mining activities.
27	LavenderPit_rgb_2024-07-29.png	LavenderPit	Bisbee, Cochise County, Arizona	USA	31.431944,-109.898611	The July 29, 2024 Sentinel-2 image shows the Lavender Pit in Bisbee, Arizona, a former open-pit copper mine. The image reveals extensive land disturbance and soil erosion due to mining activities, with exposed reddish-brown soil indicating potential acid mine drainage. The surrounding landscape shows sparse vegetation, suggesting habitat degradation. No visible tailings ponds or water bodies with abnormal coloration are present in the image. The environmental hazards evident in the image include soil erosion, land degradation, and potential acid mine drainage, highlighting the lasting impact of historical mining operations on the local ecosystem.
28	KolweziMine_rgb_2024-10-11.png	KolweziMine	Kolwezi, Mutshatsha, Lualaba	Dr Congo	-10.727574,25.45602	The October 11, 2024 Sentinel-2 image of the Kolwezi Mine in the DRC reveals extensive environmental degradation. Large open pits and tailings ponds with abnormally colored water indicate potential chemical contamination and risk of leakage into nearby water bodies. The surrounding landscape shows severe land degradation, with widespread bare soil and disturbed terrain. Vegetation appears sparse and stressed, suggesting habitat destruction and loss of biodiversity. The image highlights significant environmental hazards associated with copper and cobalt mining activities in the region.
